artist,album_title,album_cover,year_released,billboard_200_position,uk_top_40_position
The Rolling Stones,Sticky Fingers Live at Fonda Theatre (From the Vault Collection),https://cdn.hmv.com/r/w-1280/hmv/files/fd/fdc79ff6-fccd-459e-aad7-74ecf29cfb43.jpg,2017,0,0
The Rolling Stones,On Air,https://i.discogs.com/KcSftncO3fRD-OoA6sK_cSYFXvBrUBDNceS8n24EfTY/rs:fit/g:sm/q:90/h:600/w:592/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExMjE3/MDg5LTE1MTIxMjMy/MDUtNzk2Ni5qcGVn.jpeg,2017,47,27
The Rolling Stones,No Security. San Jose '99 (From the Vault Collection),https://cdn.hmv.com/r/w-1280/hmv/files/31/312040bb-c62d-4fc6-a8f7-de95f69261e2.jpg,2018,0,0
The Rolling Stones,Voodoo Lounge Uncut,https://i.discogs.com/t99NA0Ssx24MR7ywSxhfeSVElWT7vIBff83InnnrNHY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyODAx/NjcwLTE1NDI1NjU5/MjktNjc5MS5qcGVn.jpeg,2018,0,0
The Rolling Stones,Bridges to Bremen,https://m.media-amazon.com/images/I/61dSFCi6LPL._AC_SL1400_.jpg,2019,0,0
The Rolling Stones,Bridges to Buenos Aires (Live),https://ronniewood.com/wp-content/uploads/2025/07/ux6yfh-bridgestob-master.jpg,2019,0,0
The Rolling Stones,Steel Wheels Live,https://i.discogs.com/_hAD7yP5alX28Rlaryt_5dP-wWmPz-lPbWSuLrVUPII/rs:fit/g:sm/q:90/h:536/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE2MDAx/Mjc2LTE2MDE4MTk1/NDctNzc5MS5qcGVn.jpeg,2020,180,0
The Rolling Stones,A Bigger Bang – Live on Copacabana Beach,https://m.media-amazon.com/images/I/71p3UoqlTbL._AC_SL1500_.jpg,2021,0,187
The Rolling Stones,El Mocambo 1977,https://i.discogs.com/bVymASmXN5Pn8ZesRXbpYc2qJnrnYj6OBj3WkJ5tq5A/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzMjA4/NzAxLTE2NTI0MzAy/MjctNjA0MS5qcGVn.jpeg,2022,61,24
The Rolling Stones,Licked Live in NYC,https://i.discogs.com/XS8qSAhqiCJszmeLMn10HnY9m0rIbCL07w3pqNjNKgY/rs:fit/g:sm/q:90/h:587/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzNTI5/ODAzLTE2NTQ5NjI3/NzctMzYyOC5qcGVn.jpeg,2022,0,0
The Rolling Stones,Hackney Diamonds,https://cdn.hmv.com/r/w-1280/hmv/files/42/425b239e-e80a-4a9b-8c68-61c1906da903.jpg,2023,1,3
The Rolling Stones,Grrr Live!,https://www.telegraph.co.uk/multimedia/archive/02328/RS_GRRR_CMYK_PACKS_2328658b.jpg,2023,193,21
The Rolling Stones,Live at the Wiltern,https://i.discogs.com/ko6vgNl4vxXnpSPlC6H0MuZlGdiRumt-MdO-I5ULWGc/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMwMDM3/NDYyLTE3MDk5MDgx/OTUtMjMxMy5qcGVn.jpeg,2024,0,95
The Rolling Stones,"Live at Racket, NYC",https://www.roughtrade.com/_next/image?url=https%3A%2F%2Fcdn.shopify.com%2Fs%2Ffiles%2F1%2F0867%2F1120%2F6219%2Ffiles%2F418467268262-800_91a007d2_thumbnail_4096.webp%3Fv%3D1726984326&w=1080&q=75,2024,0,0
The Rolling Stones,Welcome to Shepherd's Bush,https://i.discogs.com/XarEuBbJuY8HM998UDIWhRU37oFk6TJUgo5j8bbVuME/rs:fit/g:sm/q:90/h:533/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyNTA3/ODk4LTE3MzM2NTM2/OTUtNjc4OC5qcGVn.jpeg,2024,0,0
